Track Name,Album Name,Lyrics,No_of_Characters,No_of_Words
42 by Coldplay,Viva La Vida or Death and All His Friends by Coldplay,"those who are dead are not dead they're just livin' in my head and since i fell for that spell i am livin' there as well, oh  time is so short, and i'm sure there must be somethin' more  those who are dead are not dead they're just livin' in my head, oh and since i fell for that spell i am livin' there as well, oh  time is so short, and i'm sure there must be somethin' more ohohoh, ohoh   you thought you might be a ghost you thought you might be a ghost you didn't get to heaven, but you made it close you didn't get to heaven, but you made it close you thought you might be a ghost you thought you might be a ghost you didn't get to heaven, but you made it close you didn't get to heaven, but you ohohoh, ohohoh ohoh, ohoh      those who are dead are not dead they're just livin' in my head ooh",808,192
A Hard Day's Night by The Beatles,A Hard Day’s Night by The Beatles,"it's been a hard day's night and i've been working like a dog it's been a hard day's night i should be sleeping like a log but when i get home to you i find the things that you do will make me feel alright  you know i work all day to get you money to buy you things and it's worth it just to hear you say you're gonna give me everything so why on earth should i moan 'cause when i get you alone you know i feel okay  when i'm home everything seems to be right when i'm home feeling you holding me tight, tight, yeah!  it's been a hard day's night and i've been working like a dog it's been a hard day's night i should be sleeping like a log but when i get home to you i find the things that you do will make me feel alright ah!   so why on earth should i moan 'cause when i get you alone you know i feel okay  when i'm home everything seems to be right when i'm home feeling you holding me tight, tight, yeah!  it's been a hard day's night and i've been working like a dog it's been a hard day's night i should be sleeping like a log but when i get home to you i find the things that you do will make me feel alright  you know i feel alright you know i feel alright17",1174,277
A Head Full of Dreams by Coldplay,A Head Full of Dreams by Coldplay," oh, i think i landed in a world i hadn't seen when i'm feeling ordinary when i don't know what i mean oh, i think i landed where there are miracles at work for the thirst and for the hunger come the conference of birds  saying it's true, it's not what it seems leave your broken windows open and in the light just streams and you get a head, a head full of dreams you can see the change you wanted be what you want to be and you get a head, a head full of dreams into life, i've just been spoken with a head full, a head full of dreams  oh, i think i landed where there are miracles at work when you got me openhanded when you got me lost for words i sing ohohoh      a head full of dreams a head full of dreams into life i've just been woken with a head full, a head full of dreams",786,179
A Message by Coldplay,X&Y by Coldplay,"my song is love love to the loveless shown and it goes on you don't have to be alone  your heavy heart is made of stone and it's so hard to see you clearly you don't have to be on your own you don't have to be on your own  and i'm not gonna take it back and i'm not gonna say i don't mean that you're the target that i'm aiming at can i get that message home  my song is love my song is love unknown but i'm on fire for you, clearly you don't have to be alone you don't have to be on your own      and i'm not gonna take it back and i'm not gonna say i don't mean that you're the target that i'm aiming at and i'm nothing on my own got to get that message home  and i'm not gonna stand and wait i'm not gonna leave it until it's much too late, oh on a platform, i'm gonna stand and say that i'm nothing on my own and i love you, please come home  my song is love, is love unknown and i've got to get that message home",918,235
A Punchup at a Wedding by Radiohead,Hail to the Thief by Radiohead,no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no  i don't know why you bother nothing's ever good enough for you i was there it wasn't like that you've come here just to start a fight  you had to piss on our parade you had to shred our big day you had to ruin it for all concerned in a drunken punchup at a wedding yeah  hypocrite opportunist don't infect me with your poison a bully in a china shop when i turn 'round you stay frozen to the spot  the pointless snide remarks of hammerheaded sharks the pot will call the kettle black it's a drunken punchup at a wedding yeah  no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no,849,216
A Rush of Blood to the Head by Coldplay,A Rush of Blood to the Head by Coldplay,"he said, ""i'm gonna buy this place and burn it down i'm gonna put it six feet underground"" he said, ""i'm gonna buy this place and watch it fall stand here beside me, baby, in the crumblin' walls oh, i'm gonna buy this place and start a fire stand here until i fill all your heart's desires because i'm gonna buy this place and see it burn and do back the things it did to you in return""  haah, haah haah, haah  he said, ""i'm gonna buy a gun and start a war if you can tell me somethin' worth fightin' for oh, and i'm gonna buy this place, is what i said blame it upon a rush of blood to the head""  honey all the movements you've started to make see me crumble and fall on my face and i know the mistakes that i made see it all disappear without trace and they call as they beckon you on they say, ""start as you mean to go on"" start as you mean to go on      he said, ""i'm gonna buy this place and see it go stand here beside me, baby, watch the orange glow some will laugh and some just sit and cry but you just sit down there and you wonder why""  so, i'm gonna buy a gun and start a war if you can tell me somethin' worth fightin' for and i'm gonna buy this place, is what i said blame it upon a rush of blood to the head"" oh, to the head, oh  honey all the movements you've started to make see me crumble and fall on my face and i know the mistakes that i made see it all disappear without trace and they call as they beckon you on they say, ""start as you mean to go on"" as you mean to go on as you mean to go on  so meet me by the bridge oh, meet me by the lane when am i gonna see that pretty face again meet me on the road meet me where i said blame it all upon a rush of blood to the head",1699,424
A Sky Full of Stars by Coldplay,Ghost Stories by Coldplay,"'cause you're a sky, 'cause you're a sky full of stars i'm gonna give you my heart 'cause you're a sky, 'cause you're a sky full of stars 'cause you light up the path  i don't care, go on and tear me apart i don't care if you do, oohooh, ooh 'cause in a sky, 'cause in a sky full of stars i think i saw you oohoohooh, oohoohooh  'cause you're a sky, 'cause you're a sky full of stars i wanna die in your arms, ohohoh, ohoh 'cause you get lighter the more it gets dark i'm gonna give you my heart, oh  i don't care, go on and tear me apart i don't care if you do, oohooh, ooh 'cause in a sky, 'cause in a sky full of stars i think i see you oohoohooh, oohoohooh i think i see you oohoohooh, oohoohooh  'cause you're a sky, you're a sky full of stars such a heavenly view you're such a heavenly view yeah, yeah, yeah, ooh    ",842,210
A Taste of Honey by The Beatles,Please Please Me by The Beatles,"a taste of honey! tasting much sweeter than wine  i dream of your first kiss, and then i feel upon my lips again  a taste of honey a taste of honey tasting much sweeter than wine  oh, i will return, yes, i will return i'll come back for the honey and you  yours was the kiss that awoke my heart there lingers still, though we're far apart  that taste of honey a taste of honey tasting much sweeter than wine  oh, i will return, yes, i will return i'll come back he'll come back for the honey for the honey and you",521,123
A Whisper by Coldplay,A Rush of Blood to the Head by Coldplay,"a whisper, a whisper, a whisper, a whisper a whisper, a whisper, a whisper, a whisper  i hear the sound of the tickin' of clocks remember your face, who remembers you when you are gone i hear the sound of the tickin' of clocks come back and look for me, look for me when i am lost  just a whisper, a whisper, a whisper, a whisper just a whisper, a whisper, a whisper, a whisper  night turns to day, and i still have these questions bridges will break, should i go forwards or backwards and night turns to day, and i still get no answers  just a whisper, a whisper, a whisper, a whisper just a whisper, a whisper, a whisper, a whisper  i hear the sound of the tickin' of clocks remember your face, who remembers you when you are gone i hear the sound of the tickin' of clocks come back and look for me, look for me when i am lost      just a whisper, a whisper, a whisper, a whisper just a whisper, a whisper, a whisper, a whisper  ahahah, ahahah ahahah, ahahah ahahah, ahahah ahahah, ahahah ahahah, ahahah ahahah, ahahah ahahah, ahahah",1066,241
A Wolf at the Door by Radiohead,Hail to the Thief by Radiohead,"drag him out your window dragging out the dead singing ""i miss you"" snakes and ladders flip the lid out pops the cracker smacks you in the head knifes you in the neck kicks you in the teeth steel toe caps takes all your credit cards get up get the gunge get the eggs get the flan in the face the flan in the face the flan in the face dance you fucker dance you fucker don't you dare don't you dare don't you flan in the face take it with the love it's given take it with a pinch of salt take it to the taxman let me back let me back i promise to be good don't look in the mirror at the face you don't recognize help me call the doctor put me inside put me inside put me inside put me inside put me inside  i keep the wolf from the door but he calls me up calls me on the phone tells me all the ways that he's gonna mess me up steal all my children if i don't pay the ransom and i'll never see them again if i squeal to the cops  no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no  walking like giant cranes and with my xray eyes i strip you naked in a tight little world and are you on the list stepford wives who are we to complain investments and dealers investments and dealers cold wives and mistresses cold wives and sunday papers city boys in first class don't know we're born at all just know someone else is gonna come and clean it up born and raised for the job someone always does oh i wish you'd get up get over get up get over turn your tape off i keep the wolf from the door but he calls me up calls me on the phone tells me all the ways that he's gonna mess me up steal all my children if i don't pay the ransom and i'll never see them again if i squeal to the cops so i'm just gonna",1962,473
Absolutely Sweet Marie by Bob Dylan,Blonde on Blonde by Bob Dylan,"well, your railroad gate you know i just can't jump it sometimes it gets so hard, you see i just sitting here, beating on my trumpet with all these promises you left for me but where are you tonight, sweet marie  well, i waited for you when i was half sick yes, i waited for you when you hated me well, i waited for you inside of the frozen traffic yeah, when you knew i had some other place to be now, where are you tonight, sweet marie  well, anybody can be just like me, obviously but then, now again, not too many can be like you, fortunately  well, six white horses that you did promise were finally delivered down to the penitentiary but to live outside the law, you must be honest i know you always say that you agree alright, so where are you tonight, sweet marie  well, i don't know how it happened but the riverboat captain, he knows my fate but everybody else, even yourself they're just gonna have to wait  well, i got the fever down in my pockets the persian drunkard, he follows me yes, i can take him to your house, but i can't unlock it you see, you forgot to leave me with the key oh, where are you tonight, sweet marie  well, i been in jail when all the mail showed that a man can't give his address out to bad company and now i stand here lookin' at your yellow railroad in the ruins of your balcony wondering where you are tonight, sweet marie",1404,311
Act Naturally by The Beatles,Help! by The Beatles,"they're gonna put me in the movies they're gonna make a big star out of me we'll make a film about a man that's sad and lonely and all i gotta do is act naturally  well i'll bet you i'm gonna be a big star might win an oscar, you can never tell the movies gonna make me a big star 'cause i can play the part so well  well i hope you'll come and see me in the movies then i know that you will plainly see the biggest fool that ever hit the big time and all i gotta do is act naturally   we'll make the scene about a man that's sad and lonely and begging down upon his bended knee i'll play the part and i won't need rehearsing all i have to do is act naturally  well i'll bet you i'm gonna be a big star might win an oscar, you can never tell the movies gonna make me a big star 'cause i can play the part so well  well i hope you'll come and see me in the movies then i know that you will plainly see the biggest fool that ever hit the big time and all i gotta do is act naturally4",986,235
Adventure Of A Lifetime by Coldplay,A Head Full of Dreams by Coldplay," ""turn your magic on,"" umi, she'd say ""everythin' you want's a dream away we are legends, every day"" that's what she told me ""turn your magic on,"" to me, she'd say ""everythin' you want's a dream away under this pressure, under this weight we are diamonds""  now, i feel my heart beatin' i feel my heart underneath my skin now, i feel my heart beatin' oh, you make me feel  like i'm alive again alive again oh, you make me feel like i'm alive again  said, ""i can't go on, not in this way i'm a dream that died by light of day gonna hold up half the sky and say only i own me""      now, i feel my heart beatin' i feel my heart underneath my skin oh, i can i feel my heart beatin' 'cause you make me feel  like i'm alive again alive again oh, you make me feel like i'm alive again  ""turn your magic on,"" umi, she'd say ""everythin' you want's a dream away under this pressure, under this weight we are diamonds takin' shape we are diamonds takin' shape""  woo, woohoo woo, woohoo if we've only got this life, this adventure, oh, then i and if we've only got this life, you'll get me through alive and if we've only got this life, in this adventure, oh, then i want to share it with you, with you, with you oh, see, yeah, see, yeah, i dohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo",1452,372
Afire Love by Ed Sheeran,× Multiply by Ed Sheeran,"things were all good yesterday and then the devil took your memory and if you fell to your death today i hope that heaven is your restin' place i heard the doctors put your chest in pain but then that could've been the medicine and now you're lyin' in the bed again either way, i'll cry with the rest of them  and my father told me, ""son it's not his fault he doesn't know your face and you're not the only one"" although my grandma used to say that he used to sing  darlin', hold me in your arms the way you did last night and we'll lie inside for a little while here, oh i could look into your eyes until the sun comes up and we're wrapped in light, in life and love put your open lips on mine and slowly let them shut for they're designed to be together, oh with your body next to mine, our hearts will beat as one and we're set alight, we're afire love  love, love  and things were all good yesterday but then the devil took your breath away and now, we're left here in the pain black suit, black tie, standin' in the rain and now, my family is one again stapled together with the strangers and a friend came to my mind, i should paint it with a pen six years old, i remember when  my father told me, ""son it's not his fault he doesn't know your face and you're not the only one"" although my grandma used to say that he used to sing  darlin', hold me in your arms the way you did last night and we'll lie inside for a little while here, oh i could look into your eyes until the sun comes up and we're wrapped in light, in life and love put your open lips on mine and slowly let them shut for they're designed to be together, oh with your body next to mine, our hearts will beat as one and we're set alight, we're afire love ahooh love, love ahooh see the love, the love, the love, the love ahooh see the love, the love, the love, the love ahooh see the love, the love, the love, the love  and my father and all of my family rise from their seats to sing ""hallelujah"" and my brother and all of my family rise from their seats to sing ""hallelujah"" and my brother and all of my family rise from their seats to sing ""hallelujah"" and all my brothers and my sisters, yeah and my father and all of my family ah rise from their seats to sing ""hallelujah""  ahooh ahooh see the love, the love, the love, the love ahooh see the love, the love, the love, the love ahooh see the love, the love, the love, the love ahooh, ahooh92",2518,597
Afterglow by Taylor Swift,Lover by Taylor Swift,"i blew things out of proportion, now you're blue put you in jail for something you didn’t do i pinned your hands behind your back, oh thought i had reason to attack, but no  fighting with a true love is boxing with no gloves chemistry 'til it blows up, 'til there’s no us why'd i have to break what i love so much it's on your face, and i'm to blame, i need to say  hey, it's all me, in my head i'm the one who burned us down but it's not what i meant sorry that i hurt you i don't wanna do, i don’t wanna do this to you ooh i don’t wanna lose, i don't wanna lose this with you ooh i need to say, hey, it’s all me, just don't go meet me in the afterglow  it's so excruciating to see you low just wanna lift you up and not let you go this ultraviolet morning light below tells me this love is worth the fight, oh  i lived like an island, punished you with silence went off like sirens, just crying why'd i have to break what i love so much it’s on your face, don't walk away, i need to say  hey, it's all me, in my head i'm the one who burned us down but it's not what i meant i'm sorry that i hurt you i don't wanna do, i don't wanna do this to you ooh i don't wanna lose, i don't wanna lose this with you ooh i need to say, hey, it's all me, just don't go meet me in the afterglow  tell me that you're still mine tell me that we'll be just fine even when i lose my mind i need to say tell me that it's not my fault tell me that i'm all you want even when i break your heart i need to say hey, it's all me, in my head i'm the one who burned us down but it's not what i meant sorry that i hurt you i don't wanna do, i don't wanna do this to you ooh i don't wanna lose, i don't wanna lose this with you ooh i need to say, hey, it's all me, just don't go meet me in the afterglow",1776,478
Airbag by Radiohead,OK Computer by Radiohead,in the next world war in a jackknifed juggernaut i am born again in the neon sign scrolling up and down i am born again  in an interstellar burst i'm back to save the universe  in a deep deep sleep of the innocent i am born again in a fast german car i'm amazed that i survived an airbag saved my life  in an interstellar burst i am back to save the universe   in an interstellar burst i am back to save the universe in an interstellar burst i am back to save the universe,472,97
Alberta # by Bob Dylan,Self Portrait by Bob Dylan,alberta let your hair hang low alberta let your hair hang low i'll give you more gold than your apron can hold if you'd only let your hair hang low  alberta what's on your mind alberta what's on your mind you keep me worried and bothered all of the time alberta what's on your mind  alberta don't you treat me unkind alberta don't you treat me unkind oh my heart is so sad cause i want you so bad alberta don't you treat me unkind  alberta let your hair hang low alberta let your hair hang low i'll give you more gold than your apron can hold if you'll only let your hair hang low,621,133
Alberta # by Bob Dylan,Self Portrait by Bob Dylan,alberta let your hair hang low alberta let your hair hang low i'll give you more gold than your apron can hold if you'd only let your hair hang low  alberta what's on your mind alberta what's on your mind you keep me worried and bothered all of the time alberta what's on your mind  alberta don't you treat me unkind alberta don't you treat me unkind oh my heart is so sad cause i want you so bad alberta don't you treat me unkind  alberta let your hair hang low alberta let your hair hang low i'll give you more gold than your apron can hold if you'll only let your hair hang low,621,133
All I Need by Radiohead,In Rainbows by Radiohead,i'm the next act waiting in the wings i'm an animal trapped in your hot car i am all the days that you choose to ignore  you are all i need you're all i need i'm in the middle of your picture lying in the reeds  i am a moth who just wants to share your light i'm just an insect trying to get out of the night i only stick with you because there are no others  you are all i need you're all i need i'm in the middle of your picture lying in the reeds  it's all wrong it's all wrong it's all wrong it's alright it's alright it's alright it's all wrong it's alright it's alright it's alright,588,139
All I Really Want to Do by Bob Dylan,Another Side of Bob Dylan by Bob Dylan,"i ain't lookin' to compete with you beat or cheat or mistreat you simplify you, classify you deny, defy or crucify you  all i really wanna do is, baby, be friends with you  no, and i ain't lookin' to fight with you frighten you or uptighten you drag you down or drain you down chain you down or bring you down  all i really wanna do is, baby, be friends with you  i ain't lookin' to block you up shock or knock or lock you up analyze you, categorize you finalize you or advertise you  all i really wanna do is, baby, be friends with you  i don't wanna straightface you race or chase you, track or trace you or disgrace you or displace you or define you or confine you  all i really wanna do is, baby, be friends with you  i don't wanna meet your kin make you spin or do you in or select you or dissect you or inspect you or reject you  all i really wanna do is, baby, be friends with you  i don't wanna fake you out take or shake or forsake you out i ain't lookin' for you to feel like me see like me or be like me all i really wanna do is, baby, be friends with you",1108,264
All I've Got to Do by The Beatles,With the Beatles by The Beatles,"whenever i want you around, yeah all i got to do is call you on the phone and you'll come running home yeah, that's all i got to do  and when i, i want to kiss you, yeah all i got to do is whisper in your ear the words you long to hear and i'll be kissin' you  and the same goes for me whenever you want me at all i'll be here, yes, i will whenever you call you just got to call on me, yeah you just got to call on me  and when i, i want to kiss you, yeah all i got to do is call you on the phone and you'll come runnin' home yeah, that's all i got to do  and the same goes for me whenever you want me at all i'll be here, yes, i will whenever you call you just got to call on me, yeah you just got to call on me8",718,185
All My Loving by The Beatles,With the Beatles by The Beatles,"close your eyes and i'll kiss you tomorrow, i'll miss you remember i'll always be true and then while i'm away i'll write home every day and i'll send all my lovin' to you  i'll pretend that i'm kissing the lips i am missing and hope that my dreams will come true and then while i'm away i'll write home every day and i'll send all my lovin' to you  all my lovin' ooh, i will send to you all my lovin' ooh, darlin', i'll be true  close your eyes and i'll kiss you tomorrow, i'll miss you remember i'll always be true and then while i'm away i'll write home every day and i'll send all my lovin' to you  all my lovin' ooh, i will send to you all my lovin' ooh, darlin', i'll be true, huh  all my lovin' ooh, huh, all my lovin', ooh all my lovin' ooh, huh, i will send to you12",792,215
